TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,2,1,3,0.750000,1.0,0.0,4.015075,0.0,999.0,999.0,999.0,6.526339,7.54347,3.528395,7.5436683,8.293672
2,2,1,2,1,2,0.750000,1.0,1.0,8.295874,2.0,9.327908,1.0320342,5.0,10.812461,11.825078,3.5292048,11.825229,12.579971
3,3,1,2,1,3,0.750000,1.0,2.0,12.5821,3.0,13.964606,1.382506,9.0,15.0990095,16.110126,3.528026,16.110275,16.866564
4,4,1,2,1,3,0.750000,1.0,3.0,16.868786,3.0,17.817617,0.9488302,8.0,19.386448,20.395647,3.5268607,20.39585,21.153078
5,5,1,2,1,3,0.750000,1.0,4.0,21.155266,3.0,21.937458,0.7821927,8.0,23.672352,24.679808,3.5245407,24.679958,25.439589
6,6,1,2,1,2,0.750000,1.0,5.0,25.441685,2.0,26.040339,0.59865355,5.0,27.95895,28.967588,3.525903,28.967737,29.725454
7,7,1,2,1,3,0.750000,1.0,6.0,29.727613,3.0,30.160116,0.43250304,7.0,32.243977,33.256218,3.5286057,33.25637,34.011448
8,8,1,2,1,3,12,1.0,7.0,34.013546,2.0,34.595695,0.58215064,4.0,36.530113,37.540215,3.5266695,37.540363,49.556683
9,9,2,3,2,1,0.750000,1.0,8.0,49.632786,3.0,51.49187,1.8590869,3.0,52.149235,53.160885,3.5280976,53.161034,53.926495
10,10,2,3,2,1,0.750000,1.0,9.0,53.992413,2.0,54.744183,0.75176823,6.0,56.50905,57.518387,3.5259757,57.518536,58.279743
11,11,2,3,2,1,0.750000,1.0,10.0,58.334843,--,--,--,--,--,--,--,--,--
12,12,2,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
13,13,2,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
14,14,2,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
15,15,2,3,2,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
16,16,2,3,2,3,10,0.0,--,--,--,--,--,--,--,--,--,--,--
17,17,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
18,18,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
19,19,3,1,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
20,20,3,1,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
21,21,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
22,22,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
23,23,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
24,24,3,1,1,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--
25,25,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
26,26,4,2,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
27,27,4,2,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
28,28,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
29,29,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
30,30,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
31,31,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
32,32,4,2,1,3,12,0.0,--,--,--,--,--,--,--,--,--,--,--
33,33,5,4,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
34,34,5,4,2,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
35,35,5,4,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
36,36,5,4,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
37,37,5,4,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
38,38,5,4,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
39,39,5,4,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
40,40,5,4,2,3,12,0.0,--,--,--,--,--,--,--,--,--,--,--
41,41,6,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
42,42,6,3,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
43,43,6,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
44,44,6,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
45,45,6,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
46,46,6,3,2,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
47,47,6,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
48,48,6,3,2,1,10,0.0,--,--,--,--,--,--,--,--,--,--,--
49,49,7,1,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
50,50,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
51,51,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
52,52,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
53,53,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
54,54,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
55,55,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
56,56,7,1,1,3,8,0.0,--,--,--,--,--,--,--,--,--,--,--
57,57,8,6,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
58,58,8,6,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
59,59,8,6,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
60,60,8,6,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
61,61,8,6,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
62,62,8,6,3,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
63,63,8,6,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
64,64,8,6,3,2,10,0.0,--,--,--,--,--,--,--,--,--,--,--
65,65,9,5,3,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
66,66,9,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
67,67,9,5,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
68,68,9,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
69,69,9,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
70,70,9,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
71,71,9,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
72,72,9,5,3,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,2,1,3,0.750000,1.0,0.0,3.3205142e-06,0.0055227554,4.0185122,2.0,5.3781075,1.3595955,4.0,6.5344315,7.5472474,3.5287356,7.5474677,8.312545
2,2,1,2,1,2,0.750000,1.0,1.0,--,--,8.315945,3.0,9.2803755,0.9644304,5.0,10.833404,11.843133,3.527188,11.843325,12.600144
3,3,1,2,1,3,0.750000,1.0,2.0,--,--,12.602466,2.0,13.0002775,0.39781228,4.0,15.119415,16.127775,3.5253103,16.12796,16.88652
4,4,1,2,1,3,0.750000,1.0,3.0,--,--,16.888823,2.0,17.687387,0.7985636,1.0,19.405926,20.413757,3.524934,20.413933,21.173063
5,5,1,2,1,3,0.750000,1.0,4.0,--,--,21.175348,3.0,21.507168,0.33181995,8.0,23.69289,24.701736,3.526388,24.70191,25.460382
6,6,1,2,1,2,0.750000,1.0,5.0,--,--,25.462696,2.0,25.927258,0.4645623,5.0,27.98091,28.989714,3.5270178,28.989887,29.746778
7,7,1,2,1,3,0.750000,1.0,6.0,--,--,29.74907,2.0,30.180847,0.43177775,2.0,32.266636,33.276722,3.527653,33.276897,34.033775
8,8,1,2,1,3,12,1.0,7.0,--,--,34.036346,2.0,34.218086,0.18174137,3.0,36.552715,37.56071,3.5243669,37.560883,49.563225
9,9,2,3,2,1,0.750000,1.0,8.0,--,--,49.652817,2.0,51.51501,1.8621935,7.0,52.170246,53.182026,3.5292091,53.1822,53.933777
10,10,2,3,2,1,0.750000,1.0,9.0,--,--,54.0327,2.0,55.368553,1.3358536,6.0,56.550552,57.5593,3.5266,57.55949,58.32098
11,11,2,3,2,1,0.750000,1.0,10.0,--,--,58.39397,3.0,59.038284,0.64431435,3.0,60.90974,61.917614,3.5236423,61.91779,62.673996
12,12,2,3,2,1,0.750000,1.0,11.0,--,--,62.744717,2.0,63.141365,0.39664885,8.0,65.26172,66.269455,3.524741,66.26963,67.02735
13,13,2,3,2,1,0.750000,1.0,12.0,--,--,67.09687,2.0,67.82848,0.73161614,9.0,69.61504,70.6243,3.5274324,70.62447,71.38113
14,14,2,3,2,1,0.750000,1.0,13.0,--,--,71.45088,3.0,71.81504,0.3641541,2.0,73.96771,74.97656,3.5256743,74.97674,75.734535
15,15,2,3,2,2,0.750000,1.0,14.0,--,--,75.804085,3.0,76.952675,1.1485901,5.0,78.32149,79.331535,3.52745,79.33172,80.08826
16,16,2,3,2,3,10,1.0,15.0,--,--,80.1743,3.0,80.47328,0.29898044,6.0,82.69066,83.69883,3.524526,83.699,93.69955
17,17,3,1,1,1,0.750000,1.0,16.0,--,--,93.706215,2.0,94.500854,0.79464376,8.0,96.22351,97.23348,3.5272715,97.23366,97.9864
18,18,3,1,1,1,0.750000,1.0,17.0,--,--,97.98881,0.0,999.0,999.0,999.0,100.505516,101.521416,3.5326092,101.52158,102.27326
19,19,3,1,1,3,0.750000,1.0,18.0,--,--,102.27564,2.0,102.82395,0.548308,2.0,104.79255,105.800476,3.5248294,105.80065,106.56022
20,20,3,1,1,3,0.750000,1.0,19.0,--,--,106.56254,3.0,108.87883,2.3162892,6.0,109.079346,110.08634,3.5237966,110.08652,110.84695
21,21,3,1,1,1,0.750000,1.0,20.0,--,--,110.849304,3.0,111.731255,0.8819534,1.0,113.367516,114.376205,3.5269053,114.3764,115.133606
22,22,3,1,1,1,0.750000,1.0,21.0,--,--,115.13594,2.0,117.019394,1.88345,8.0,117.6524,118.66035,3.5243995,118.66052,119.42049
23,23,3,1,1,1,0.750000,1.0,22.0,--,--,119.42279,3.0,120.17146,0.7486701,2.0,121.94125,122.94958,3.5267875,122.94976,123.70733
24,24,3,1,1,1,8,1.0,23.0,--,--,123.70963,2.0,125.65943,1.9497983,7.0,126.22732,127.234795,3.5251634,127.23498,135.25032
25,25,4,2,1,3,0.750000,1.0,24.0,--,--,135.25363,2.0,135.85118,0.59756243,2.0,137.77042,138.77928,3.5256622,138.77946,139.53734
26,26,4,2,1,1,0.750000,1.0,25.0,--,--,139.53967,0.0,999.0,999.0,999.0,142.05634,143.07329,3.5336084,143.07347,143.82394
27,27,4,2,1,1,0.750000,1.0,26.0,--,--,143.82634,2.0,144.70839,0.8820521,6.0,146.34238,147.35127,3.5249348,147.35144,148.11072
28,28,4,2,1,3,0.750000,1.0,27.0,--,--,148.11319,2.0,148.64493,0.5317392,4.0,150.63106,151.64023,3.527038,151.64041,152.39769
29,29,4,2,1,3,0.750000,1.0,28.0,--,--,152.39998,0.0,999.0,999.0,999.0,154.90036,155.91621,3.5162358,155.9164,156.66782
30,30,4,2,1,3,0.750000,1.0,29.0,--,--,156.67017,2.0,157.18558,0.5154112,2.0,159.18631,160.19579,3.5256302,160.19597,160.95471
31,31,4,2,1,3,0.750000,1.0,30.0,--,--,160.95717,0.0,999.0,999.0,999.0,163.47383,164.49017,3.53301,164.49036,165.24133
32,32,4,2,1,3,12,1.0,31.0,--,--,165.24365,2.0,166.99329,1.7496297,4.0,167.76108,168.77016,3.5264986,168.77034,180.77145
33,33,5,4,2,3,0.750000,1.0,32.0,--,--,180.86148,2.0,181.6552,0.79372305,4.0,183.37903,184.3861,3.524613,184.38629,185.14131
34,34,5,4,2,2,0.750000,1.0,33.0,--,--,185.22583,3.0,186.20906,0.983237,5.0,187.74321,188.75179,3.5259595,188.75195,189.51167
35,35,5,4,2,3,0.750000,1.0,34.0,--,--,189.58232,0.0,999.0,999.0,999.0,192.09734,193.11406,3.5317454,193.11424,193.86507
36,36,5,4,2,3,0.750000,1.0,35.0,--,--,193.93509,2.0,194.2825,0.34741107,3.0,196.45241,197.46204,3.5269487,197.4622,198.21867
37,37,5,4,2,3,0.750000,1.0,36.0,--,--,198.28828,3.0,199.60342,1.3151491,7.0,200.80504,201.81296,3.5246842,201.81317,202.57207
38,38,5,4,2,3,0.750000,1.0,37.0,--,--,202.6422,3.0,203.32298,0.6807793,8.0,205.16017,206.167,3.5248084,206.1672,206.92557
39,39,5,4,2,1,0.750000,1.0,38.0,--,--,206.99432,0.0,999.0,999.0,999.0,209.49487,210.511,3.5166798,210.51117,211.26308
40,40,5,4,2,3,12,1.0,39.0,--,--,211.33253,2.0,211.7794,0.44686142,2.0,213.85112,214.89897,3.5664387,214.89915,226.90872
41,41,6,3,2,1,0.750000,1.0,40.0,--,--,226.99394,2.0,227.50987,0.5159271,7.0,229.51189,230.52087,3.5269272,230.52104,231.27911
42,42,6,3,2,3,0.750000,1.0,41.0,--,--,231.35046,0.0,999.0,999.0,999.0,233.8653,234.88115,3.5306916,234.88136,235.63277
43,43,6,3,2,1,0.750000,1.0,42.0,--,--,235.70184,2.0,237.2179,1.5160514,7.0,238.21904,239.22789,3.526051,239.22807,239.98628
44,44,6,3,2,1,0.750000,1.0,43.0,--,--,240.05835,3.0,240.72028,0.66192555,1.0,242.5752,243.58286,3.5245016,243.58302,244.33963
45,45,6,3,2,1,0.750000,1.0,44.0,--,--,244.40977,0.0,999.0,999.0,999.0,246.92563,247.94281,3.533046,247.943,248.69382
46,46,6,3,2,2,0.750000,1.0,45.0,--,--,248.76392,2.0,249.31053,0.54660547,5.0,251.28197,252.29082,3.5268936,252.29099,253.04674
47,47,6,3,2,1,0.750000,1.0,46.0,--,--,253.11664,3.0,253.66426,0.54761434,2.0,255.63382,256.64258,3.5259354,256.64276,257.4006
48,48,6,3,2,1,10,1.0,47.0,--,--,257.47116,2.0,258.03586,0.56470335,6.0,259.9879,260.99472,3.5235674,260.9949,270.99503
49,49,7,1,1,2,0.750000,1.0,48.0,--,--,271.001,2.0,272.38025,1.3792462,5.0,273.51785,274.52713,3.5261023,274.52728,275.28217
50,50,7,1,1,1,0.750000,1.0,49.0,--,--,275.28464,3.0,275.78238,0.4977278,2.0,277.80283,278.8107,3.5260646,278.81088,279.5689
51,51,7,1,1,1,0.750000,1.0,50.0,--,--,279.57132,0.0,999.0,999.0,999.0,282.08798,283.10413,3.5328283,283.10434,283.85556
52,52,7,1,1,1,0.750000,1.0,51.0,--,--,283.85788,2.0,284.4396,0.58171654,9.0,286.37582,287.38538,3.5274732,287.38556,288.14227
53,53,7,1,1,1,0.750000,1.0,52.0,--,--,288.14456,3.0,288.76047,0.6159033,3.0,290.66238,291.6707,3.5261304,291.67087,292.43
54,54,7,1,1,1,0.750000,1.0,53.0,--,--,292.43234,0.0,999.0,999.0,999.0,294.93274,295.94754,3.5151782,295.9477,296.69968
55,55,7,1,1,1,0.750000,1.0,54.0,--,--,296.70224,0.0,999.0,999.0,999.0,299.21872,300.23492,3.5326822,300.2351,300.98666
56,56,7,1,1,3,8,1.0,55.0,--,--,300.98898,2.0,301.43716,0.44819447,1.0,303.50574,304.51483,3.5258558,304.515,312.52902
57,57,8,6,3,3,0.750000,1.0,56.0,--,--,313.222,0.0,999.0,999.0,999.0,315.73193,316.74963,3.5276604,316.74982,317.49988
58,58,8,6,3,3,0.750000,1.0,57.0,--,--,318.21902,2.0,318.968,0.74897134,3.0,320.7367,321.7455,3.526494,321.7457,322.50403
59,59,8,6,3,3,0.750000,1.0,58.0,--,--,323.05045,3.0,323.58865,0.5381944,8.0,325.5668,326.5736,3.5231397,326.5738,327.3245
60,60,8,6,3,3,0.750000,1.0,59.0,--,--,327.85776,0.0,999.0,999.0,999.0,330.36102,331.37738,3.5196068,331.37756,332.12854
61,61,8,6,3,3,0.750000,1.0,60.0,--,--,332.65283,3.0,333.29672,0.6438857,6.0,335.1703,336.1802,3.5273852,336.1804,336.9325
62,62,8,6,3,2,0.750000,1.0,61.0,--,--,337.45203,0.0,999.0,999.0,999.0,339.9523,340.96848,3.5164635,340.96866,341.7197
63,63,8,6,3,3,0.750000,1.0,62.0,--,--,342.23856,2.0,343.55493,1.316368,1.0,344.75516,345.76447,3.5259113,345.76468,346.52347
64,64,8,6,3,2,10,1.0,63.0,--,--,347.04688,2.0,347.4746,0.4277399,5.0,349.5645,350.5734,3.5265098,350.57358,360.58527
65,65,9,5,3,2,0.750000,1.0,64.0,--,--,361.27887,2.0,362.78754,1.5086774,5.0,363.7963,364.80328,3.5244267,364.80347,365.556
66,66,9,5,3,1,0.750000,1.0,65.0,--,--,366.08145,3.0,367.09134,1.0098685,4.0,368.59845,369.60733,3.525875,369.6075,370.36017
67,67,9,5,3,3,0.750000,1.0,66.0,--,--,370.8834,2.0,371.79507,0.9116715,4.0,373.40005,374.40915,3.525761,374.40933,375.16394
68,68,9,5,3,1,0.750000,1.0,67.0,--,--,375.68665,2.0,376.98218,1.295551,8.0,378.20444,379.21432,3.5276814,379.2145,379.9679
69,69,9,5,3,1,0.750000,1.0,68.0,--,--,380.48755,0.0,999.0,999.0,999.0,383.0041,384.02026,3.5327287,384.02045,384.77188
70,70,9,5,3,1,0.750000,1.0,69.0,--,--,385.29105,2.0,385.82303,0.53199035,8.0,387.8094,388.81866,3.527615,388.8189,389.5758
71,71,9,5,3,1,0.750000,1.0,70.0,--,--,390.1301,3.0,390.81052,0.68041915,1.0,392.64725,393.65567,3.5255718,393.65585,394.41318
72,72,9,5,3,1,8,1.0,71.0,--,--,394.93695,2.0,396.88208,1.945125,7.0,397.45438,398.4612,3.524267,398.4614,406.47308
