Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,2,1,2,4
2,0,1,1,0,2,2
3,0,2,3,0,2,2
4,0,2,2,0,2,6
5,0,2,1,0,6,4
6,1,2,2,1,6,6
7,1,4,3,0,6,2
8,2,4,1,0,4,2
9,0,4,3,1,4,4
10,0,2,1,1,4,2
11,0,2,3,1,8,4
12,0,1,1,1,2,6
13,0,2,2,1,4,2
14,2,4,3,1,2,2
15,1,2,1,1,6,4
16,2,4,3,0,4,4
17,0,4,3,0,2,6
18,0,1,2,0,2,2
19,0,1,2,1,6,4
20,1,4,3,1,2,2
21,1,4,2,1,2,2
22,2,4,2,0,4,2
23,2,4,1,1,2,8
24,0,1,3,1,4,2
25,1,4,2,0,4,2
26,1,2,1,0,2,4
27,1,4,1,0,2,2
28,1,2,3,1,2,2
29,0,4,1,1,8,10
30,1,2,3,0,4,4
31,1,2,2,0,2,4
32,0,1,3,0,4,2
33,1,4,1,1,2,2
34,2,4,2,1,6,6
35,0,4,1,0,2,2
36,0,4,2,0,2,8